Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12640393	0.02799798	0.09649952	0.00411683	-0.01921628	0.05434836	0.10485757	0.01905428	0.09623968	0.00482673	-0.01328218	0.05827190	0.09411365	0.00767929	0.08903665	-0.00193746	-0.02056387	0.06174541	0.10272361	0.03529900	0.14526449	0.02405463	-0.00042102	0.06139452	0.06913845	0.01363201	0.12593433	0.03069215	-0.01112936	0.07511475	0.06585550	0.00341663	0.09246524	0.01975258	-0.02279974	0.08406713
0.016667	0.12645413	0.02766268	0.09743142	0.00571804	-0.01851877	0.05021830	0.10493761	0.01884675	0.09721406	0.00745992	-0.01418000	0.05528681	0.09410946	0.00735029	0.09006304	0.00265137	-0.01864115	0.06015883	0.10314953	0.03530572	0.14631039	0.02247544	-0.00039853	0.05601190	0.06966719	0.01344884	0.12721451	0.02837252	-0.00898390	0.07132380	0.06619810	0.00304806	0.09388023	0.01866736	-0.02152785	0.07838719
0.033333	0.12656248	0.02737661	0.09823260	0.00731926	-0.01782126	0.04608824	0.10504594	0.01861029	0.09811658	0.01009312	-0.01507782	0.05230172	0.09409354	0.00702641	0.09104208	0.00724020	-0.01671842	0.05857226	0.10350710	0.03527018	0.14723298	0.02089624	-0.00037605	0.05062928	0.07012527	0.01328115	0.12835883	0.02605288	-0.00683844	0.06753284	0.06649105	0.00267700	0.09516250	0.01758214	-0.02025597	0.07270726
0.050000	0.12670666	0.02706596	0.09901154	0.00799108	-0.01659456	0.03991802	0.10523603	0.01833110	0.09902082	0.01091611	-0.01395204	0.04532757	0.09424712	0.00674577	0.09205389	0.00964276	-0.01410826	0.05101749	0.10383072	0.03527312	0.14806269	0.02106388	-0.00212134	0.04547554	0.07056320	0.01317635	0.12950329	0.02526535	-0.00716300	0.06020473	0.06679781	0.00234270	0.09642088	0.01694079	-0.01798671	0.06302657
0.066666	0.12684549	0.02680021	0.09969220	0.00915918	-0.01424561	0.02677451	0.10545401	0.01806568	0.09982169	0.01239286	-0.01274758	0.03121303	0.09444636	0.00648785	0.09301403	0.01274591	-0.01021016	0.03609198	0.10415301	0.03528053	0.14878719	0.01958348	-0.00620859	0.03351903	0.07092687	0.01312438	0.13054799	0.02330473	-0.00869152	0.04378098	0.06704623	0.00201079	0.09746184	0.01641462	-0.01450281	0.04366650
0.083333	0.12699951	0.02653408	0.10018966	0.00808764	-0.01169035	0.01014974	0.10570646	0.01786216	0.10038891	0.01198498	-0.01060163	0.01215478	0.09479241	0.00638111	0.09367713	0.01299938	-0.00673687	0.01567768	0.10450788	0.03522174	0.14937659	0.01638721	-0.01169679	0.01789547	0.07130621	0.01304357	0.13137527	0.01941178	-0.01156818	0.02106250	0.06731421	0.00180609	0.09825928	0.01519965	-0.01083056	0.01770213
0.100000	0.12719157	0.02638683	0.10022897	0.00482159	-0.00941625	-0.00767323	0.10591096	0.01772347	0.10044113	0.00860508	-0.00777880	-0.00867869	0.09503771	0.00632524	0.09373522	0.00935666	-0.00393848	-0.00699996	0.10483902	0.03497041	0.14962116	0.00952575	-0.01759637	0.00021912	0.07168230	0.01280735	0.13158418	0.01138476	-0.01440116	-0.00507267	0.06756311	0.00169028	0.09835275	0.01016930	-0.00679627	-0.01130976
0.116666	0.12729774	0.02628484	0.09980064	-0.00012182	-0.00791329	-0.02310292	0.10608952	0.01763191	0.09996096	0.00230652	-0.00514127	-0.02647686	0.09521754	0.00634238	0.09324019	0.00226230	-0.00159107	-0.02660259	0.10502939	0.03453323	0.14940639	-0.00084956	-0.02173255	-0.01618742	0.07193727	0.01244189	0.13111651	-0.00056338	-0.01521586	-0.02866160	0.06783558	0.00162636	0.09779116	0.00117653	-0.00268280	-0.03682937
