Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10654693	0.01834891	0.11271886	0.00360371	-0.00180118	0.00452151	0.10110179	-0.00462002	0.09937061	0.00172161	-0.00520533	-0.00000253	0.09519092	-0.02350596	0.08999582	0.00553577	-0.00537281	0.00269813	0.05649383	0.02657507	0.13927944	0.02587852	-0.00969608	0.00447752	0.05768960	-0.01026636	0.11594394	0.01497675	-0.00386466	0.00303054	0.07077161	-0.03284651	0.09830391	0.02228757	-0.01381414	0.00621936
0.016667	0.10660675	0.01832504	0.11278642	0.00219026	-0.00221551	0.00466840	0.10112299	-0.00471029	0.09936456	0.00038356	-0.00489645	0.00155725	0.09530332	-0.02357749	0.09004140	0.00351348	-0.00495004	0.00296922	0.05697121	0.02639577	0.13936491	0.01780413	-0.00756872	0.00338317	0.05795033	-0.01032204	0.11599407	0.01089596	-0.00355229	0.00296519	0.07119738	-0.03307731	0.09842319	0.01261984	-0.01162519	0.00496792
0.033333	0.10665224	0.01829124	0.11286867	0.00077680	-0.00262985	0.00481529	0.10113680	-0.00478788	0.09938698	-0.00095450	-0.00458757	0.00311704	0.09534790	-0.02367862	0.09008964	0.00149120	-0.00452726	0.00324031	0.05726297	0.02627810	0.13941100	0.00972973	-0.00544136	0.00228883	0.05813901	-0.01039006	0.11604164	0.00681517	-0.00323993	0.00289985	0.07140708	-0.03328229	0.09849440	0.00295212	-0.00943624	0.00371648
0.050000	0.10665879	0.01822088	0.11296041	0.00039444	-0.00189211	0.00421380	0.10113494	-0.00485715	0.09945302	-0.00223231	-0.00440271	0.00323926	0.09535103	-0.02375792	0.09013569	0.00099533	-0.00338056	0.00320719	0.05736570	0.02620311	0.13944653	0.00808240	-0.00508575	0.00171982	0.05823724	-0.01045549	0.11610069	0.00534550	-0.00253080	0.00252889	0.07136539	-0.03343615	0.09854161	0.00114102	-0.00836545	0.00328486
0.066666	0.10663501	0.01818923	0.11303803	-0.00026647	-0.00140549	0.00360949	0.10107637	-0.00494085	0.09953741	-0.00345529	-0.00383841	0.00349884	0.09534702	-0.02383481	0.09021138	-0.00046160	-0.00206347	0.00280407	0.05734279	0.02616186	0.13945916	0.00395043	-0.00415813	0.00052482	0.05824783	-0.01048991	0.11613356	0.00282728	-0.00187107	0.00197780	0.07121989	-0.03352781	0.09858444	-0.00391958	-0.00650744	0.00208833
0.083333	0.10660777	0.01816781	0.11308970	-0.00056036	-0.00049360	0.00279890	0.10097416	-0.00500035	0.09961742	-0.00393128	-0.00330168	0.00290276	0.09533294	-0.02382669	0.09026588	-0.00085038	-0.00065245	0.00228708	0.05735607	0.02609960	0.13946840	0.00275451	-0.00400956	-0.00021689	0.05824602	-0.01050499	0.11617246	0.00178386	-0.00118623	0.00129603	0.07108812	-0.03361430	0.09862715	-0.00489609	-0.00486588	0.00153009
0.100000	0.10660955	0.01818964	0.11311527	-0.00044216	0.00048855	0.00212003	0.10088231	-0.00505593	0.09965426	-0.00338708	-0.00260076	0.00186481	0.09531375	-0.02381446	0.09029674	-0.00065431	0.00043637	0.00160002	0.05742840	0.02602897	0.13945192	0.00310243	-0.00405673	-0.00055775	0.05827373	-0.01050524	0.11618201	0.00192703	-0.00076956	0.00079234	0.07103431	-0.03369056	0.09863498	-0.00337185	-0.00369211	0.00125677
0.116666	0.10661362	0.01820125	0.11313718	-0.00026927	0.00101619	0.00173916	0.10082089	-0.00508111	0.09966075	-0.00209828	-0.00187147	0.00089545	0.09528297	-0.02378398	0.09029759	-0.00041489	0.00079371	0.00074279	0.05752688	0.02593561	0.13942082	0.00330503	-0.00393189	-0.00071526	0.05831996	-0.01051904	0.11618038	0.00254638	-0.00074899	0.00028439	0.07100557	-0.03375787	0.09864330	-0.00113756	-0.00279223	0.00083834
