Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10878358	0.01945305	0.11351006	-0.00336972	0.00106792	0.00620327	0.10260319	-0.00459384	0.09993012	-0.00233264	0.00306237	0.00510434	0.09815550	-0.02194162	0.09102903	0.00004273	-0.00567243	0.00280299	0.06327967	0.02293243	0.14607812	-0.00205283	0.00116014	0.00402884	0.06358013	-0.01170717	0.12343045	-0.00105784	0.00171916	0.00013620	0.07393771	-0.03384226	0.10377637	0.00609542	-0.00221667	0.00015244
0.016667	0.10872430	0.01946840	0.11362480	-0.00285366	0.00071621	0.00475088	0.10255949	-0.00453373	0.10003216	-0.00160866	0.00279099	0.00276202	0.09815240	-0.02203276	0.09107583	0.00075549	-0.00543200	0.00186280	0.06324095	0.02294639	0.14615484	-0.00068218	0.00013355	0.00298039	0.06354924	-0.01168264	0.12344383	0.00007510	0.00077240	-0.00019737	0.07403589	-0.03387789	0.10378648	0.00502961	-0.00290451	-0.00049956
0.033333	0.10867553	0.01948127	0.11370265	-0.00233759	0.00036449	0.00329850	0.10253152	-0.00449375	0.10007616	-0.00088469	0.00251961	0.00041969	0.09816235	-0.02212779	0.09111131	0.00146825	-0.00519157	0.00092261	0.06322299	0.02295727	0.14620197	0.00068847	-0.00089304	0.00193194	0.06355549	-0.01166009	0.12343007	0.00120804	-0.00017437	-0.00053093	0.07412309	-0.03392835	0.10377578	0.00396380	-0.00359235	-0.00115157
0.050000	0.10864292	0.01949675	0.11373401	-0.00257247	-0.00037738	0.00329935	0.10252808	-0.00446871	0.10005073	-0.00107136	0.00263816	0.00028554	0.09820416	-0.02221602	0.09112274	0.00124287	-0.00483817	0.00043072	0.06324714	0.02294844	0.14621897	0.00063274	-0.00173086	0.00193872	0.06359243	-0.01167084	0.12341394	0.00079166	-0.00084165	-0.00029665	0.07419652	-0.03398753	0.10374564	0.00278664	-0.00409344	-0.00103891
0.066666	0.10861602	0.01948516	0.11377063	-0.00270580	-0.00120183	0.00272845	0.10252552	-0.00441400	0.10002179	-0.00120033	0.00209735	-0.00072971	0.09822899	-0.02229526	0.09111669	0.00120394	-0.00433722	-0.00028037	0.06329391	0.02289985	0.14623345	0.00119448	-0.00277817	0.00154742	0.06363585	-0.01168639	0.12340108	0.00074871	-0.00170605	-0.00025977	0.07423362	-0.03405936	0.10371434	0.00128761	-0.00458980	-0.00114125
0.083333	0.10857505	0.01945863	0.11380979	-0.00279070	-0.00182667	0.00291919	0.10251237	-0.00436559	0.09999792	-0.00173763	0.00156822	-0.00069011	0.09826099	-0.02236098	0.09109648	0.00061326	-0.00391894	-0.00055626	0.06332061	0.02282960	0.14625910	0.00176732	-0.00350355	0.00174210	0.06364455	-0.01174007	0.12340815	0.00051957	-0.00217883	0.00030108	0.07422968	-0.03415569	0.10369934	0.00031620	-0.00474868	-0.00071589
0.100000	0.10850437	0.01939775	0.11386877	-0.00277122	-0.00213993	0.00339156	0.10246949	-0.00433546	0.10000189	-0.00226852	0.00084520	-0.00025734	0.09825397	-0.02241658	0.09107792	-0.00011295	-0.00369836	-0.00049841	0.06331490	0.02275786	0.14629285	0.00214645	-0.00362355	0.00229553	0.06362026	-0.01179235	0.12341538	0.00066463	-0.00239937	0.00098050	0.07420287	-0.03424511	0.10368927	0.00010055	-0.00472419	-0.00012439
0.116666	0.10844591	0.01935646	0.11392944	-0.00277591	-0.00232357	0.00373846	0.10241266	-0.00434440	0.10000689	-0.00246775	0.00012407	0.00009589	0.09824947	-0.02246877	0.09107238	-0.00065137	-0.00363060	-0.00024516	0.06334892	0.02269102	0.14633460	0.00212961	-0.00327036	0.00264109	0.06360690	-0.01182604	0.12342640	0.00121702	-0.00258638	0.00142787	0.07418349	-0.03431813	0.10369420	0.00063028	-0.00434447	0.00025608
