Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10992888	0.01135177	0.10440885	-0.00020988	-0.00203380	-0.00221540	0.09974610	-0.00987809	0.09208245	0.00317962	0.00014523	-0.00141271	0.09243558	-0.02804212	0.08304565	0.00255306	0.00128452	-0.00158948	0.06623113	0.02409924	0.13379554	-0.00801980	-0.00029931	0.00026621	0.05608993	-0.01212453	0.10697688	-0.00190274	-0.00147365	0.00152365	0.06700892	-0.03484285	0.08517387	0.00307893	0.00110208	-0.00321557
0.016667	0.10992118	0.01131976	0.10436691	0.00132524	-0.00204053	-0.00148684	0.09979164	-0.00987250	0.09205960	0.00472875	-0.00062512	-0.00154205	0.09247059	-0.02801440	0.08301456	0.00340374	0.00085200	-0.00116565	0.06609341	0.02408885	0.13379760	-0.00557723	-0.00027716	0.00071481	0.05604080	-0.01213797	0.10700271	0.00041228	-0.00198269	0.00150584	0.06705799	-0.03482590	0.08511581	0.00400746	0.00061244	-0.00197590
0.033333	0.10993434	0.01128497	0.10434252	0.00286036	-0.00204725	-0.00075829	0.09986512	-0.00987733	0.09203546	0.00627788	-0.00139548	-0.00167140	0.09252664	-0.02800492	0.08299749	0.00425441	0.00041947	-0.00074182	0.06598897	0.02409118	0.13380748	-0.00313466	-0.00025502	0.00116341	0.05604443	-0.01218251	0.10703061	0.00272730	-0.00249174	0.00148804	0.06711669	-0.03480894	0.08507813	0.00493599	0.00012280	-0.00073623
0.050000	0.11000038	0.01124623	0.10433840	0.00280638	-0.00175892	-0.00069604	0.09999008	-0.00991615	0.09200428	0.00620099	-0.00115718	-0.00152976	0.09261328	-0.02799885	0.08299174	0.00396656	0.00051867	-0.00065901	0.06595460	0.02408419	0.13383920	-0.00252274	-0.00027958	0.00108161	0.05613539	-0.01222052	0.10703798	0.00242841	-0.00225153	0.00140288	0.06721632	-0.03481268	0.08507982	0.00464836	0.00010150	-0.00062473
0.066666	0.11008053	0.01121605	0.10433977	0.00318223	-0.00133327	-0.00026710	0.10012569	-0.00995055	0.09197345	0.00636472	-0.00113678	-0.00120160	0.09269909	-0.02800830	0.08298454	0.00381121	0.00048100	-0.00030581	0.06595803	0.02408656	0.13385709	-0.00146691	-0.00021401	0.00117653	0.05620784	-0.01228757	0.10708719	0.00296480	-0.00204851	0.00093054	0.06731259	-0.03482179	0.08509240	0.00445792	-0.00000760	-0.00024006
0.083333	0.11014837	0.01119266	0.10433666	0.00337125	-0.00065996	0.00011891	0.10024459	-0.00997499	0.09195091	0.00588662	-0.00071551	-0.00056043	0.09276354	-0.02799511	0.08297766	0.00307449	0.00055719	-0.00010911	0.06596714	0.02407144	0.13388278	-0.00139244	-0.00011336	0.00100419	0.05626454	-0.01231257	0.10710425	0.00240876	-0.00165737	0.00103850	0.06739946	-0.03482993	0.08510093	0.00405548	0.00019023	-0.00018608
0.100000	0.11017372	0.01119017	0.10432905	0.00332245	0.00014444	0.00054725	0.10032567	-0.00996926	0.09194186	0.00526676	-0.00005174	0.00035819	0.09280188	-0.02797624	0.08297728	0.00223634	0.00044738	0.00050124	0.06593870	0.02407193	0.13389230	-0.00185435	-0.00011895	0.00090227	0.05627870	-0.01232342	0.10710237	0.00135191	-0.00115627	0.00162136	0.06744032	-0.03482170	0.08508661	0.00350879	0.00041424	0.00002947
0.116666	0.11020809	0.01119840	0.10433586	0.00318134	0.00072693	0.00106063	0.10037781	-0.00996107	0.09196108	0.00472048	0.00044512	0.00148059	0.09281783	-0.02796123	0.08298234	0.00157919	0.00017650	0.00149456	0.06587726	0.02407313	0.13390362	-0.00214928	-0.00007094	0.00094444	0.05627723	-0.01233402	0.10709877	0.00039717	-0.00075352	0.00230764	0.06747232	-0.03480795	0.08506111	0.00307595	0.00029585	0.00063591
